Lat,Lon
34.088934,-88.505164
34.088934,-88.505164
41.9231062,-87.9182633
34.6528736,135.2207474
64.0,26.0
46.0244656,8.9600452
42.83333,12.83333
40.0,-4.0
34.088934,-88.505164
30.4801362,-97.7931805
40.42103,-74.52878
40.42103,-74.52878
31.56887,120.28857
34.088934,-88.505164
30.4801362,-97.7931805
23.11667,113.25
45.1996822,5.7031246
41.9231062,-87.9182633
52.25,5.75
46.453571,4.564357
50.9054008,6.4118689
40.0,-4.0
22.3223754,39.1173835
40.8482029,14.299961
36.5,127.75
41.9231062,-87.9182633
40.42103,-74.52878
-31.9927517,115.8835581
29.427884,-98.7988963
34.088934,-88.505164
35.68536,139.75309
36.7699807,127.0630792
31.79426,-94.174438
38.91706,-77.00025
40.7536919,-111.8317466
45.1996822,5.7031246
23.9494015,38.2920459
24.0,121.0
35.68536,139.75309
35.71339,139.76232
62.0,15.0
55.7339688,37.5884817
46.0244656,8.9600452
36.5,127.75
40.42103,-74.52878
40.42103,-74.52878
40.42103,-74.52878
37.4192611,-121.9787718
55.9483399,-3.1932723
48.2618918,11.666948
52.2109456,0.092005
48.739457,9.0970622
23.9494015,38.2920459
34.088934,-88.505164
52.1238555,21.3362914
-10.0,-55.0
40.42103,-74.52878
37.493831,126.9170463
37.493831,126.9170463
46.0,2.0
35.68536,139.75309
29.6328837,-82.349013
48.2618918,11.666948
35.6792492,139.5583275
41.9231062,-87.9182633
52.25,5.75
41.9231062,-87.9182633
41.9231062,-87.9182633
55.7339688,37.5884817
36.5,127.75
46.0244656,8.9600452
-31.9500909,115.7895708
35.1489394,126.9141026
34.088934,-88.505164
36.3651843,127.3593597
52.4085143,16.9084535
35.6898046,139.7613158
35.6898046,139.7613158
55.7339688,37.5884817
52.0,20.0
40.8482029,14.299961
45.1996822,5.7031246
60.0,100.0
37.28255,-90.63734
39.7411693,-105.1835007
25.0375839,121.5143604
31.79426,-94.174438
63.985,-22.60556
49.7870718,6.0897434
36.9950033,129.4025391
39.97789,-105.2748664
51.5,10.5
35.574756,-86.192262
35.574756,-86.192262
35.68536,139.75309
35.8816854,-106.2980683
30.4801362,-97.7931805
37.6736516,-121.7072096
36.0564466,140.1247547
30.4801362,-97.7931805
47.6958548,9.131056
50.9054008,6.4118689
-25.0,135.0
50.0952039,8.6611054
34.775068,-96.666756
24.7826067,120.9956004
37.6736516,-121.7072096
-10.0,-55.0
51.5,10.5
22.0,79.0
23.9494015,38.2920459
50.6117013,15.6235063
44.594989,-75.333066
59.2016758,17.6203201
48.8455927,2.4249063
15.5,101.0
38.9531545,-92.3313718
49.1018534,8.4331202
36.473051,-81.812586
51.5,10.5
35.68536,139.75309
42.83333,12.83333
45.417208,-75.7079985
45.417208,-75.7079985
48.8455927,2.4249063
51.5,10.5
38.9531545,-92.3313718
51.4905582,-2.6304825
23.75,54.5
37.687781,-121.7083093
54.75844,-2.69531
49.056729,2.060674
-10.0,-55.0
34.088934,-88.505164
49.83465,18.28204
47.6958548,9.131056
35.68536,139.75309
42.83333,12.83333
42.83333,12.83333
42.83333,12.83333
42.83333,12.83333
60.0,100.0
35.68536,139.75309
41.3897809,2.1163868
42.6306711,-82.6486605
37.28255,-90.63734
64.0,26.0
36.5,127.75
50.9054008,6.4118689
35.68536,139.75309
37.687781,-121.7083093
34.5111992,135.631448
52.52437,13.41053
52.0,20.0
34.775068,-96.666756
51.53443,9.93228
,
43.5208319,-112.0490689
51.5,10.5
25.0375839,121.5143604
22.3223754,39.1173835
51.53443,9.93228
34.775068,-96.666756
51.5,10.5
52.0889536,5.113087
40.42103,-74.52878
64.0,26.0
40.393222,-105.17349
40.393222,-105.17349
46.0,2.0
62.0,15.0
55.9440764,-3.1883736
44.998227,-124.006309
23.75,54.5
46.0,2.0
59.2016758,17.6203201
52.1238555,21.3362914
36.5,127.75
40.7536919,-111.8317466
35.68536,139.75309
40.148741,-80.193311
39.7411693,-105.1835007
39.97789,-105.2748664
59.66472,10.79465
22.0,79.0
39.97789,-105.2748664
40.42103,-74.52878
42.66667,25.25
51.5,10.5
48.282887,-0.089045
35.71339,139.76232
-10.0,-55.0
35.0,105.0
45.520139,6.8249706
37.6736516,-121.7072096
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
62.0,15.0
51.5,10.5
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
36.0564466,140.1247547
49.056729,2.060674
40.393222,-105.17349
40.393222,-105.17349
36.694066,-86.248834
35.055669,-106.602469
49.59099,11.00783
35.055669,-106.602469
30.4801362,-97.7931805
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
38.6631572,-9.2049894
51.4197152,-0.9501968
51.4197152,-0.9501968
40.393222,-105.17349
36.473051,-81.812586
-34.5636476,-58.4169822
-10.0,-55.0
46.5635243,15.6513517
40.0952591,-88.2420314
45.896045,6.719227
51.5,10.5
18.5367682,73.8052767
35.68536,139.75309
37.687781,-121.7083093
33.4386876,-88.7943232
-19.8294634,-43.6303606
31.2008911,121.4283949
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
40.148741,-80.193311
52.0889536,5.113087
,
49.59099,11.00783
38.9531545,-92.3313718
38.9531545,-92.3313718
40.430028,-86.9264211
-3.37217,-57.7248
53.0,-8.0
40.397611,-105.097685
35.0,105.0
52.4085143,16.9084535
24.7826067,120.9956004
47.8528227,1.9111125
23.9494015,38.2920459
35.71339,139.76232
36.2,140.1
35.0,105.0
50.8532848,7.124659
40.672423,17.9192836
40.42103,-74.52878
,
35.68536,139.75309
1.28967,103.85007
40.393222,-105.17349
40.393222,-105.17349
37.28255,-90.63734
30.2691649,-97.7455041
46.0,2.0
56.4949613,-4.2505723
37.687781,-121.7083093
35.055669,-106.602469
40.393222,-105.17349
40.393222,-105.17349
39.1802358,-86.5093526
40.8482029,14.299961
36.5,127.75
-10.0,-55.0
32.0,-6.0
40.397611,-105.097685
40.397611,-105.097685
53.0,-8.0
35.68536,139.75309
62.0,10.0
40.397611,-105.097685
49.8611517,8.681944
38.9531545,-92.3313718
51.5,10.5
52.25,5.75
1.28967,103.85007
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
40.393222,-105.17349
35.055669,-106.602469
49.1018534,8.4331202
47.0,20.0
49.8611517,8.681944
46.5635243,15.6513517
35.0,105.0
46.0244656,8.9600452
52.1238555,21.3362914
36.0734025,140.1201334
38.750408,-104.741783
35.68536,139.75309
48.282887,-0.089045
51.5,10.5
34.6686915,-82.8374348
51.5,10.5
36.8584957,30.8785647
40.397611,-105.097685
35.0,105.0
35.0,105.0
35.0,105.0
62.0,15.0
62.0,10.0
35.0,105.0
35.0,105.0
40.397611,-105.097685
40.397611,-105.097685
36.341432,-83.338693
35.0,105.0
35.0,105.0
35.0,105.0
38.33703,-77.767418
35.0,105.0
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
35.0,105.0
35.0,105.0
49.83465,18.28204
35.0,105.0
37.28255,-90.63734
48.2618918,11.666948
35.0,105.0
54.75844,-2.69531
54.75844,-2.69531
,
35.0,105.0
62.0,10.0
35.0,105.0
47.8528227,1.9111125
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
47.33333,13.33333
37.6736516,-121.7072096
35.0,105.0
50.75,4.5
35.0,105.0
35.0,105.0
35.0,105.0
45.417208,-75.7079985
42.3616283,-71.081069
60.10867,-113.64258
40.397611,-105.097685
35.0,105.0
35.0,105.0
35.0,105.0
30.6108618,-96.3520606
37.687781,-121.7083093
37.687781,-121.7083093
35.0,105.0
35.0,105.0
40.0022905,116.320963
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
35.0,105.0
,
45.417208,-75.7079985
51.5,10.5
42.83333,12.83333
35.0,105.0
43.128127,-77.632763
35.0,105.0
35.0,105.0
1.28967,103.85007
35.0,105.0
28.6244782,77.3591772
47.8528227,1.9111125
35.6898046,139.7613158
35.6898046,139.7613158
35.0,105.0
34.234834,-78.004346
48.390413,-115.574347
42.66667,25.25
34.088934,-88.505164
40.7434467,-73.9722189
46.453571,4.564357
62.0,15.0
35.0,105.0
36.341432,-83.338693
51.5,10.5
32.741644,-117.179792
35.0,105.0
35.0,105.0
60.0,100.0
36.341432,-83.338693
35.0,105.0
35.460274,-81.253072
40.7292053,-73.9950148
35.0,105.0
35.0,105.0
39.1802358,-86.5093526
35.0,105.0
33.4213174,-111.9331631
35.0,105.0
35.0,105.0
35.0,105.0
42.3657432,-71.1222139
35.0,105.0
35.0,105.0
52.25,5.75
52.25,5.75
52.25,5.75
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
51.5,10.5
52.25,5.75
54.75844,-2.69531
30.4801362,-97.7931805
35.0,105.0
53.0,-8.0
53.0,-8.0
62.0,10.0
47.00016,8.01427
54.75844,-2.69531
54.75844,-2.69531
40.397611,-105.097685
40.397611,-105.097685
40.397611,-105.097685
52.1238555,21.3362914
35.0,105.0
35.0,105.0
52.4522956,-1.9312857
49.1018534,8.4331202
35.0,105.0
35.0,105.0
35.0,105.0
23.9494015,38.2920459
45.896045,6.719227
35.0,105.0
34.294325,109.1196978
35.0,105.0
47.33333,13.33333
24.7826067,120.9956004
31.79426,-94.174438
52.2109456,0.092005
35.0,105.0
49.7870718,6.0897434
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
,
22.4273197,114.2032796
35.0,105.0
36.7699807,127.0630792
33.4213174,-111.9331631
52.2109456,0.092005
45.1996822,5.7031246
60.0,100.0
30.4801362,-97.7931805
23.9494015,38.2920459
35.0,105.0
35.0,105.0
47.8528227,1.9111125
40.7434467,-73.9722189
35.0,105.0
35.0,105.0
35.68536,139.75309
50.7338124,7.1022465
39.3302022,-76.6218536
44.8829372,-0.5719606
51.5,10.5
40.397611,-105.097685
40.397611,-105.097685
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
35.0,105.0
52.4557414,13.2979865
-37.7960951,144.9614459
33.4386876,-88.7943232
-34.9189226,138.6042367
35.460274,-81.253072
40.393222,-105.17349
53.5687706,10.1112157
