Rank,Name,Site,Country,Power (kW),Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Computer,Year,Latitude,Longitude
114,Dardel GPU,KTH - Royal Institute of Technology,Sweden,146.2,52864,8259.0,10207.23,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,59.2016758,17.6203201
115,Taranis,Meteo France,France,1672.0,294912,8191.03,10321.92,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",2020,48.8455927,2.4249063
116,LANTA,NSTDA Supercomputer Center (ThaiSC),Thailand,310.46,87296,8146.0,13773.06,"HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 40GB, Slingshot-11",2022,15.5,101.0
117,Roxy,Government,United States,,174720,8124.48,13977.6,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR",2020,38.9531545,-92.3313718
118,HoreKa-Green,Karlsruher Institut für Technologie (KIT) ,Germany,358.79,90932,8025.6,15006.79,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",2021,49.1018534,8.4331202
119,Narwhal,Navy DSRC,United States,,276480,8023.6,11501.57,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",2020,36.473051,-81.812586
120,42,Hessian.AI,Germany,352.8,64512,7938.0,8829.5,"Apollo 6500, AMD EPYC 7313 16C 3GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",2023,51.5,10.5
121,Plasma Simulator,National Institute for Fusion Science (NIFS),Japan,1550.1,34560,7892.7,10510.66,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",2020,35.68536,139.75309
122,Leonardo-CPU,EuroHPC/CINECA,Italy,1118.37,172032,7841.57,9433.09,"EVIDEN BullSequana XH2000, Xeon Platinum 8480L 56C 2GHz, InfiniBand HDR 100",2023,42.83333,12.83333
123,Underhill,Shared Services Canada,Canada,1294.72,148320,7764.57,10916.35,"ThinkSystem SD650 V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",2022,45.417208,-75.7079985
124,Robert,Shared Services Canada,Canada,1294.72,148320,7764.57,10916.35,"ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",2022,45.417208,-75.7079985
125,Belenos,Meteo France,France,1655.0,294912,7683.36,10469.376,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",2020,48.8455927,2.4249063
126,alpha ONE,Aleph Alpha,Germany,,57344,7625.0,7864.83,"Apollo 6500, AMD EPYC 7F52 16C 3.5GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",2022,51.5,10.5
127,PupMaya,Government,United States,,169920,7483.73,12902.4,"Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",2019,38.9531545,-92.3313718
128,Isambard-AI phase 1,University of Bristol,United Kingdom,117.08,34272,7417.0,9285.9,"HPE Cray EX254n, NVIDIA Grace 72C 3.1GHz, NVIDIA GH200 Superchip, Slingshot-11",2024,51.4905582,-2.6304825
129,Artemis,Group 42,United Arab Emirates,673.0,107568,7257.0,9492.163,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",2019,23.75,54.5
130,LLNL CTS-2 Dane,Lawrence Livermore National Laboratory,United States,,123648,7041.0,7913.0,"DELL PowerEdge C6620, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path",2023,37.687781,-121.7083093
131,,United Kingdom Meteorological Office,United Kingdom,,241920,7038.93,8128.512,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",2016,54.75844,-2.69531
132,JOLIOT-CURIE ROME,CEA/TGCC-GENCI,France,1436.0,197120,6988.04,12039.3728,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",2019,49.056729,2.060674
133,Gaia,Petróleo Brasileiro S.A,Brazil,574.0,84480,6968.0,13728.0,"PowerEdge XE8545, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100, Infiniband",2023,-10.0,-55.0
134,Theta,DOE/SC/Argonne National Laboratory,United States,,280320,6920.9,11661.312,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ",2017,34.088934,-88.505164
135,"Karolina, GPU partition","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",Czechia,310.99,71424,6752.0,9080.18,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200",2021,49.83465,18.28204
136,,Deutscher Wetterdienst,Germany,941.56,28352,6726.9,8584.7,"SX-Aurora TSUBASA C401-8, Vector Engine Type 30A 16C 1.6GHz, Infiniband NDR200",2023,47.6958548,9.131056
137,Camphor 3,"Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",Japan,1026.64,125440,6708.13,7626.75,"DELL PowerEdge C6620, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR",2023,35.68536,139.75309
138,HPCF-AD,ECMWF,Italy,1200.0,245760,6671.94,8847.36,"EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200",2022,42.83333,12.83333
139,HPCF-AC,ECMWF,Italy,1200.0,245760,6671.94,8847.36,"EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200",2022,42.83333,12.83333
140,HPCF-AB,ECMWF,Italy,1200.0,245760,6671.94,8847.36,"EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200",2022,42.83333,12.83333
141,HPCF-AA,ECMWF,Italy,1200.0,245760,6671.94,8847.36,"EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200",2022,42.83333,12.83333
142,Christofari,SberCloud,Russia,,99600,6669.0,8789.76,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100",2019,60.0,100.0
143,Flow,"Information Technology Center, Nagoya University",Japan,,110592,6617.8,7785.6768,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2020,35.68536,139.75309
144,MareNostrum,Barcelona Supercomputing Center,Spain,1632.0,153216,6470.8,10296.115,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",2017,41.3897809,2.1163868
145,SPR-HBM,BP,United States,1062.0,119952,6463.85,7293.08,"Lenovo ThinkSystem SD650 V3, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR",2023,42.6306711,-82.6486605
146,ONYX,ERDC DSRC,United States,,211816,6316.03,7455.92,"Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect ",2017,37.28255,-90.63734
147,LUMI-C,EuroHPC/CSC,Finland,1215.53,194560,6299.79,7626.75,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10",2021,64.0,26.0
148,DAIDC,Government,South Korea,,54720,6183.0,7413.22,"Apollo 6500, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",2023,36.5,127.75
149,JUWELS Module 1,Forschungszentrum Juelich (FZJ),Germany,1361.0,114480,6177.73,9891.072,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",2018,50.9054008,6.4118689
150,,Japan Atomic Energy Agency(JAEA)/ National Institutes for Quantum and Radiological Science and Technology(QST),Japan,,100096,6162.0,8439.62,"HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",2020,35.68536,139.75309
151,LLNL/NNSA CTS-2 Bengal,Lawrence Livermore National Laboratory,United States,,107520,6134.0,6880.0,"DELL PowerEdge C6620, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path",2023,37.687781,-121.7083093
152,SQUID - CPU Nodes,Osaka University,Japan,1222.2,115520,6105.1,8871.94,"NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200",2021,34.5111992,135.631448
153,Lise,HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Germany,,121920,6048.26,8930.92,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",2019,52.52437,13.41053
154,Kraken-Fregata,"Gdansk University of Technology, CI Task",Poland,,21904,5985.0,10018.3,"HPE Cray XD665, AMD EPYC 9334 32C 2.7GHz, Nvidia H100 94Gb SXM5, Infiniband NDR200",2024,52.0,20.0
155,Pleiades,NASA/Ames Research Center/NAS,United States,4407.0,241108,5951.55,7107.1488,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",2016,34.775068,-96.666756
156,Emmy+,HLRN+ at GWDG/University of Göttingen,Germany,,120296,5948.8,8911.2576,"BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path",2020,51.53443,9.93228
157,Narval (GPU),Calcul Québec/Compute Canada,Canada,311.14,76320,5886.0,12165.35,"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100",2021,,
158,Sawtooth,Idaho National Laboratory,United States,1432.0,99792,5780.62,9220.608,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ",2019,43.5208319,-112.0490689
159,COBRA,Max-Planck-Gesellschaft MPI/IPP,Germany,1635.0,127520,5612.83,9793.536,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",2018,51.5,10.5
160,,Central Weather Administration,Taiwan,350.47,92160,5600.6,6488.06,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",2023,25.0375839,121.5143604
161,Shaheen II,King Abdullah University of Science and Technology,Saudi Arabia,2834.0,196608,5536.99,7235.174,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",2015,22.3223754,39.1173835
162,Grete,NHR@Göttingen,Germany,205.62,49600,5458.0,7904.92,"MEGWARE GPU Server System, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",2022,51.53443,9.93228
163,Electra,NASA/Ames Research Center/NAS,United States,1685.73,124416,5444.64,8316.518,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",2018,34.775068,-96.666756
164,Raven,Max-Planck-Gesellschaft MPI/IPP,Germany,,114624,5415.98,8803.12,"ThinkSystem SD650 V2, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR 100",2021,51.5,10.5
165,Snellius Phase 2 CPU,SURF,Netherlands,799.0,150912,5404.2,5713.92,"ThinkSystem SD665 V3, AMD EPYC 9654 96C 2.4GHz, Infiniband NDR200",2023,52.0889536,5.113087
166,rzVernal,DOE/NNSA/LLNL,United States,,35872,5401.0,6917.82,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,40.42103,-74.52878
167,MAHTI,CSC (Center for Scientific Computing),Finland,1070.0,169728,5388.52,7060.6848,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",2020,64.0,26.0
168,NA5,Software Company,United States,,268928,5313.16,10541.98,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
169,NA5A,Software Company,United States,,268928,5313.16,10541.98,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
170,Pangea,Total Exploration Production,France,4150.0,220800,5283.11,6712.32,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",2013,46.0,2.0
171,Berzelius,National Supercomputer Centre (NSC),Sweden,,59520,5253.0,9636.48,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",2021,62.0,15.0
172,"DiRAC, Tursa",University of Edinburgh,United Kingdom,243.95,55552,5228.0,8580.0,"BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",2021,55.9440764,-3.1883736
173,TX-GAIA (Green AI Accelerator),MIT Lincoln Laboratory Supercomputing Center,United States,1436.0,88400,5161.0,6981.4784,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",2019,44.998227,-124.006309
174,Dhabi Supercomputer,Technology Innovation Institute (TII),United Arab Emirates,138.94,39680,5094.0,5841.02,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",2023,23.75,54.5
175,Topaze-gpu,Commissariat a l'Energie Atomique (CEA)/CCRT,France,,42000,5065.0,6226.32,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Mellanox HDR Infiniband",2021,46.0,2.0
176,Dardel CPU,KTH - Royal Institute of Technology,Sweden,,156672,5055.33,5640.19,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-11",2021,59.2016758,17.6203201
177,Athena,Cyfronet,Poland,146.56,47616,5051.0,7709.18,"FormatServer THOR ERG21, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",2021,52.1238555,21.3362914
178,,CUBOX,South Korea,,17520,4957.0,8136.48,"HPE Cray XD6500, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR",2023,36.5,127.75
179,BioHive-1,Recursion,United States,,39680,4902.0,5709.44,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",2021,40.7536919,-111.8317466
180,Flow Type II subsystem,"Information Technology Center, Nagoya University",Japan,,79560,4880.46,7519.3,"PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",2020,35.68536,139.75309
181,Joule 3.0,DOE/National Energy Technology Laboratory,United States,,107648,4855.9,6107.13,"Gigabyte R283/R183/G593, AMD EPYC 9534 64C 2.45GHz, Infiniband",2024,40.148741,-80.193311
182,Eagle,National Renewable Energy Laboratory,United States,,75600,4850.66,7257.6,"HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube",2018,39.7411693,-105.1835007
183,Cheyenne,National Center for Atmospheric Research (NCAR),United States,1727.0,144900,4788.19,5332.32,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",2016,39.97789,-105.2748664
184,Betzy,UNINETT Sigma2 AS,Norway,,172032,4724.79,6193.15,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",2020,59.66472,10.79465
185,PARAM Siddhi-AI,Center for Development of Advanced Computing (C-DAC),India,,41664,4619.0,5267.14,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband",2020,22.0,79.0
186,Derecho GPU partition,National Center for Atmospheric Research (NCAR),United States,169.03,39680,4582.0,5044.54,"HPE Cray EX 235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",2023,39.97789,-105.2748664
187,Tioga,DOE/NNSA/LLNL,United States,,30208,4548.21,5825.54,"HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11",2022,40.42103,-74.52878
188,Discoverer,Consortium Petascale Supercomputer Bulgaria,Bulgaria,,144384,4518.87,5942.0,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR",2021,42.66667,25.25
189,JEDI,EuroHPC/FZJ,Germany,67.31,19584,4504.0,5131.78,"BullSequana XH3000, Grace Hopper Superchip 72C 3GHz, NVIDIA GH200 Superchip, Quad-Rail NVIDIA InfiniBand NDR200",2024,51.5,10.5
190,Jean Zay,CNRS/IDRIS-GENCI,France,,93960,4478.0,7345.562,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",2019,48.282887,-0.089045
191,Wisteria/BDEC-01 (Aquarius),"Information Technology Center, The University of Tokyo",Japan,183.93,42120,4425.0,7268.83,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",2021,35.71339,139.76232
192,Atlas,Petróleo Brasileiro S.A,Brazil,546.58,91936,4376.0,8848.486,"Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",2020,-10.0,-55.0
193,Advanced Computing System(PreE),Sugon,China,380.0,163840,4325.0,6134.1696,"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",2018,35.0,105.0
194,CRONOS,EDF,France,1225.53,81600,4299.33,7136.87,"BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR",2020,45.520139,6.8249706
195,SNL/NNSA CTS-1 Manzano,Sandia National Laboratories,United States,960.0,71424,4281.0,6628.15,"Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path",2020,37.6736516,-121.7072096
196,NA7A,Software Company,United States,,207872,4229.11,8148.58,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
197,NA7,Software Company,United States,,207872,4229.11,8148.58,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
198,NA2C,Software Company,United States,,111936,4228.14,9313.08,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2022,40.393222,-105.17349
199,NA2B,Software Company,United States,,111936,4228.14,9313.08,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2022,40.393222,-105.17349
200,NA2,Software Company,United States,,111936,4228.14,9313.08,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
201,Berzelius2,National Supercomputer Centre (NSC),Sweden,,33728,4214.0,5139.45,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 80 GB, Octo-rail NVIDIA HDR-100 Infiniband",2023,62.0,15.0
202,Noctua 2,Universitaet Paderborn - PC2,Germany,868.74,135168,4190.9,5298.59,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",2022,51.5,10.5
203,NA6B,Software Company,United States,,111744,4155.8,9297.1,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
204,NA6A,Software Company,United States,,111744,4155.8,9297.1,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
205,NA6,Software Company,United States,,111744,4155.8,9297.1,"Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet",2023,40.393222,-105.17349
206,,Research Institute,Japan,,70416,4128.0,5783.808,"Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",2019,36.0564466,140.1247547
207,JOLIOT-CURIE SKL,CEA/TGCC-GENCI,France,917.0,79488,4065.55,6635.52,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",2017,49.056729,2.060674
208,NA12A,Software Company,United States,,187648,4052.16,7355.8,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
209,NA12,Software Company,United States,,187648,4052.16,7355.8,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
210,Abel,Petroleum Geo-Services,United States,1800.0,145920,4042.46,5369.856,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",2015,36.694066,-86.248834
211,Warhawk,Air Force Research Laboratory,United States,,129920,4033.5,5404.67,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",2021,35.055669,-106.602469
212,Alex,Universitaet Erlangen - Regionales Rechenzentrum Erlangen,Germany,178.97,37696,4030.0,6083.65,"MEGWARE NF5488A5, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR",2021,49.59099,11.00783
213,Raider,Air Force Research Laboratory,United States,,206304,4015.56,8664.78,"Penguin Altus XO1232g, AMD EPYC 7713 64C 2GHz, Infiniband HDR",2022,35.055669,-106.602469
214,DGX Saturn V,NVIDIA Corporation,United States,,87040,3998.0,7414.78,"NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, NVIDIA Tesla V100, Infiniband EDR",2018,30.4801362,-97.7931805
215,NA9B,Software Company,United States,,200448,3960.21,7857.56,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
216,NA9A,Software Company,United States,,200448,3960.21,7857.56,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
217,NA9,Software Company,United States,,200448,3960.21,7857.56,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
218,NA9Z,Software Company,United States,,200448,3960.21,7857.56,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
219,Deucalion,FCT,Portugal,365.21,78336,3955.5,5013.5,"PRIMEHPC FX700, Fujitsu A64FX 48C 2GHz, InfiniBand HDR100",2023,38.6631572,-9.2049894
220,,ECMWF,United Kingdom,1897.02,126468,3944.68,4249.325,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",2016,51.4197152,-0.9501968
221,,ECMWF,United Kingdom,1897.02,126468,3944.68,4249.325,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",2016,51.4197152,-0.9501968
222,NA1,Software Company,United States,,191232,3920.56,7496.29,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
223,Nautilus,Navy DSRC,United States,,191680,3897.5,8155.0,"Penguin Altus XE2214GTS, AMD EPYC 7713 64C 2GHz, NVIDIA A100, Infiniband HDR200",2022,36.473051,-81.812586
224,Clementina XXI,Servicio Meteorológico Nacional,Argentina,,43008,3876.39,5990.87,"Lenovo ThinkSystem SD650 V3, Xeon Max 9462 32C 2.7GHz, Infiniband NDR 400",2023,-34.5636476,-58.4169822
225,Gemini,Petróleo Brasileiro S.A,Brazil,287.0,42240,3861.0,6864.0,"PowerEdge XE8545, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100, Infiniband",2023,-10.0,-55.0
226,VEGA HPC CPU,IZUM,Slovenia,,122880,3822.0,5367.0,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox InfiniBand HDR100",2021,46.5635243,15.6513517
227,Delta,NCSA,United States,,49600,3812.0,8050.88,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Slingshot-10",2022,40.0952591,-88.2420314
228,hotlum,Hewlett Packard Enterprise,France,,116736,3807.96,4576.0512,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11",2022,45.896045,6.719227
229,CLAIX-2023 (GPU segment),Universitaet Aachen/RWTH - IT Center,Germany,155.76,16560,3771.0,12311.1,"NEC HPC12G4Rk-3 DLC, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100, Infiniband NDR",2024,51.5,10.5
230,Pratyush,Indian Institute of Tropical Meteorology,India,1353.23,119232,3763.94,4006.195,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",2018,18.5367682,73.8052767
231,,SAKURA Internet Inc. / Prunus Solutions Inc.,Japan,,65208,3712.0,5365.0944,"Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",2019,35.68536,139.75309
232,LLNL Ruby,Lawrence Livermore National Laboratory,United States,,85568,3700.15,6023.99,"Supermicro SYS-2029TP-HTR, Xeon Platnium 8276L 28C 2.2GHz, Cornelis Networks Omni-Path",2020,37.687781,-121.7083093
233,Orion,Mississippi State University,United States,,70560,3665.72,5419.008,"PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",2019,33.4386876,-88.7943232
234,IARA,SiDi,Brazil,,24800,3657.0,4130.4,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband",2021,-19.8294634,-43.6303606
235,,Shanghai Jiao Tong University,China,,59392,3656.78,4941.41,"ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband",2021,31.2008911,121.4283949
236,NA10B,Software Company,United States,,184320,3641.57,7225.34,"Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet",2023,40.393222,-105.17349
