Country,Year,Other renewables excluding bioenergy,Electricity from bioenergy,Electricity from solar,Electricity from wind,Electricity from hydro,Electricity from nuclear,Electricity from oil,Electricity from gas,Electricity from coal
Argentina,2018,0.0,1.42,0.11,1.41,32.28,6.87,7.31,95.35,2.03
Argentina,2019,0.0,1.48,0.8,5.0,27.5,8.44,3.83,91.31,1.17
Argentina,2020,0.0,2.2,1.34,9.41,23.67,10.01,7.65,88.72,1.64
Argentina,2021,0.0,2.25,2.2,12.94,19.65,10.17,13.63,89.93,2.38
Argentina,2022,0.0,2.34,2.94,14.16,23.89,7.47,17.47,80.42,2.14
Argentina,2023,0.0,2.33,3.25,14.49,33.17,8.95,17.26,73.38,0.6
Australia,2018,0.0,3.59,12.33,16.26,17.31,0.0,5.12,51.46,156.56
Australia,2019,0.0,3.47,18.3,19.47,14.02,0.0,5.09,55.71,149.84
Australia,2020,0.0,3.41,23.84,22.61,14.42,0.0,4.89,53.12,142.93
Australia,2021,0.0,3.34,31.19,26.8,15.94,0.0,5.15,47.63,137.4
Australia,2022,0.0,3.25,38.84,31.65,17.12,0.0,5.47,46.29,130.93
Australia,2023,0.0,3.36,46.91,33.13,15.76,0.0,5.43,42.78,127.52
Austria,2018,0.0,4.93,1.46,6.03,37.64,0.0,2.88,9.92,1.81
Austria,2019,0.0,4.66,1.7,7.45,40.83,0.0,3.23,11.32,1.5
Austria,2020,0.0,4.59,2.04,6.79,42.0,0.0,3.11,9.95,0.56
Austria,2021,0.0,4.48,2.78,6.74,38.75,0.0,3.17,10.62,0.14
Austria,2022,0.0,4.69,3.79,6.96,34.71,0.0,3.16,10.88,0.06
Austria,2023,0.0,3.57,5.16,8.05,39.79,0.0,3.16,7.17,0.06
Belgium,2018,0.0,5.41,3.9,7.57,0.29,28.6,4.03,23.99,0.09
Belgium,2019,0.0,5.16,4.25,9.75,0.3,43.52,4.08,25.54,0.09
Belgium,2020,0.0,5.26,5.11,12.81,0.27,34.43,3.54,26.78,0.08
Belgium,2021,0.0,4.69,5.62,12.0,0.42,50.33,3.77,22.52,0.04
Belgium,2022,0.0,4.94,6.88,12.16,0.27,43.88,4.01,21.95,0.05
Belgium,2023,0.0,3.93,7.66,15.27,0.38,33.42,4.49,17.2,0.05
Brazil,2018,0.0,54.38,3.46,48.48,388.97,15.67,15.01,54.62,20.8
Brazil,2019,0.0,54.92,6.65,55.99,397.88,16.13,14.12,65.96,21.68
Brazil,2020,0.0,58.74,10.75,57.05,396.38,14.05,14.56,59.48,17.75
Brazil,2021,0.0,55.72,16.75,72.29,362.82,14.7,22.63,86.96,24.24
Brazil,2022,0.0,52.77,30.13,81.63,427.11,14.56,12.4,42.11,16.46
Brazil,2023,0.0,53.72,51.72,95.74,431.28,14.51,10.86,38.16,17.19
Bulgaria,2018,0.0,1.57,1.34,1.32,5.15,16.13,0.32,2.02,18.66
Bulgaria,2019,0.0,1.82,1.42,1.32,2.93,16.56,0.32,2.15,17.2
Bulgaria,2020,0.0,1.7,1.47,1.48,2.82,16.63,0.24,2.29,13.51
Bulgaria,2021,0.0,2.59,1.47,1.43,4.82,16.49,0.28,3.05,17.09
Bulgaria,2022,0.0,2.24,2.09,1.44,3.8,16.46,0.35,2.05,21.79
Bulgaria,2023,0.0,2.18,3.52,1.55,3.11,16.16,0.35,1.56,11.56
Canada,2018,0.0,10.54,3.8,33.47,385.89,100.03,4.02,70.74,53.02
Canada,2019,0.0,10.31,4.08,32.88,381.77,100.49,3.42,72.94,50.14
Canada,2020,0.0,9.55,4.28,35.76,386.55,97.51,3.04,76.37,40.3
Canada,2021,0.0,9.86,5.17,34.76,382.79,91.98,3.01,83.37,35.83
Canada,2022,0.0,8.52,6.01,37.53,398.44,86.64,2.78,84.24,35.49
Canada,2023,0.0,8.92,7.48,38.1,365.39,88.91,2.61,91.16,32.33
China,2018,0.0,93.73,176.9,365.8,1198.89,295.0,56.4,215.5,4763.92
China,2019,0.0,112.73,224.0,405.3,1272.54,348.7,52.47,232.5,4855.19
China,2020,0.0,135.63,261.1,466.5,1321.71,366.2,53.47,252.5,4921.96
China,2021,0.0,165.93,327.0,655.8,1300.0,407.5,62.1,287.1,5328.83
China,2022,0.0,176.63,427.72,762.7,1303.13,417.8,72.37,290.58,5397.8
China,2023,0.0,187.05,584.15,885.87,1245.17,434.72,73.52,307.6,5741.51
Czechia,2018,0.0,4.83,2.36,0.61,1.63,29.92,2.52,3.77,41.2
Czechia,2019,0.0,5.03,2.32,0.7,2.01,30.25,2.27,5.81,37.33
Czechia,2020,0.0,5.21,2.29,0.7,2.14,30.04,1.85,6.87,31.0
Czechia,2021,0.0,5.38,2.25,0.6,2.41,30.73,0.8,7.31,34.18
Czechia,2022,0.0,5.41,2.63,0.65,2.09,31.02,0.73,4.33,36.88
Czechia,2023,0.0,5.22,3.05,0.72,2.34,30.4,1.45,2.37,30.63
Finland,2018,0.0,12.91,0.09,5.84,13.3,22.79,5.31,4.2,5.79
Finland,2019,0.0,13.29,0.15,6.02,12.42,23.87,4.65,3.85,4.36
Finland,2020,0.0,11.57,0.22,8.26,15.88,23.29,3.59,3.99,2.44
Finland,2021,0.0,13.58,0.3,8.51,15.79,23.6,3.83,3.83,2.67
Finland,2022,0.0,12.76,0.39,11.72,13.49,25.34,3.77,0.96,3.44
Finland,2023,0.0,11.07,0.65,14.63,15.11,33.92,2.35,0.53,1.58
France,2018,0.61,8.38,10.81,28.6,65.11,412.94,10.56,30.61,8.31
France,2019,0.61,8.64,12.18,34.72,56.91,399.01,10.71,39.31,3.64
France,2020,0.61,8.76,13.2,39.86,62.59,353.83,10.03,35.25,3.09
France,2021,0.58,9.57,15.37,36.83,59.62,379.36,10.06,33.29,5.44
France,2022,0.6,9.78,19.64,38.56,45.52,294.73,10.45,45.74,4.33
France,2023,0.6,9.5,23.26,48.61,53.19,335.65,9.71,31.43,2.16
Germany,2018,0.18,50.79,44.32,109.95,17.69,76.0,23.63,81.56,228.16
Germany,2019,0.2,50.13,45.22,125.89,19.73,75.07,22.4,90.0,171.45
Germany,2020,0.23,50.93,49.5,132.11,18.72,64.38,21.28,95.0,134.6
Germany,2021,0.24,49.1,49.34,114.65,19.66,69.13,22.24,90.3,164.65
Germany,2022,0.21,48.14,60.79,124.66,17.63,34.71,21.55,79.8,179.98
Germany,2023,0.21,46.02,61.56,137.29,19.48,8.75,20.13,76.0,135.35
Hungary,2018,0.01,2.3,0.63,0.61,0.22,15.73,0.6,7.28,4.67
Hungary,2019,0.02,2.23,1.5,0.73,0.22,16.29,0.56,8.7,4.03
Hungary,2020,0.02,2.15,2.46,0.65,0.24,16.06,0.54,9.09,3.71
Hungary,2021,0.01,2.23,3.8,0.66,0.21,15.99,0.54,9.65,3.01
Hungary,2022,0.0,2.14,4.73,0.61,0.18,15.81,0.45,8.85,2.99
Hungary,2023,0.0,1.75,6.6,0.63,0.22,15.92,0.35,7.55,2.78
Iceland,2018,6.01,0.0,0.0,0.0,13.68,0.0,0.0,0.0,0.0
Iceland,2019,6.02,0.0,0.0,0.01,13.33,0.0,0.0,0.0,0.0
Iceland,2020,5.96,0.0,0.0,0.01,12.92,0.0,0.0,0.0,0.0
Iceland,2021,5.8,0.0,0.0,0.01,13.58,0.0,0.0,0.0,0.0
Iceland,2022,5.92,0.0,0.0,0.01,13.94,0.0,0.0,0.0,0.0
India,2018,0.0,27.22,36.33,60.31,139.75,39.05,6.4,71.26,1198.86
India,2019,0.0,31.51,46.27,63.31,162.07,45.16,3.07,71.95,1198.76
India,2020,0.0,32.86,58.68,60.43,163.7,44.61,3.09,74.79,1143.78
India,2021,0.0,36.76,68.31,68.09,160.33,43.92,3.38,59.84,1274.13
India,2022,0.0,40.74,95.16,70.05,174.92,46.19,3.78,47.04,1380.1
India,2023,0.0,39.31,113.41,82.1,149.19,48.19,3.96,51.28,1480.46
Ireland,2018,0.0,0.85,0.02,8.64,0.69,0.0,2.53,16.02,2.15
Ireland,2019,0.0,0.85,0.03,10.02,0.89,0.0,2.5,15.91,0.51
Ireland,2020,0.0,0.92,0.05,11.55,0.93,0.0,1.6,16.24,0.67
Ireland,2021,0.0,0.99,0.08,9.77,0.75,0.0,2.1,15.16,2.72
Ireland,2022,0.0,1.01,0.15,11.18,0.7,0.0,1.64,16.53,2.37
Ireland,2023,0.0,1.01,0.54,11.24,0.94,0.0,0.85,15.71,1.14
Italy,2018,6.11,19.14,22.65,17.72,48.79,0.0,14.62,128.56,28.47
Italy,2019,6.07,19.55,23.69,20.2,46.32,0.0,13.62,141.7,18.84
Italy,2020,6.03,19.62,24.94,18.76,47.55,0.0,12.83,133.7,13.38
Italy,2021,5.91,19.06,25.04,20.93,45.39,0.0,11.13,144.01,14.02
Italy,2022,5.84,17.61,28.12,20.28,28.4,0.0,15.63,141.47,22.61
Italy,2023,5.73,16.61,31.01,23.51,37.94,0.0,15.54,118.34,13.9
Japan,2018,0.0,30.13,62.11,6.44,81.11,49.11,53.78,425.37,345.13
Japan,2019,0.0,32.16,67.75,6.75,73.64,65.64,41.31,400.33,338.2
Japan,2020,0.0,34.8,75.14,7.82,77.41,43.0,35.51,392.5,330.78
Japan,2021,0.0,35.76,92.4,8.25,79.58,61.22,38.14,365.76,338.6
Japan,2022,0.0,41.48,102.4,8.17,74.88,51.77,45.83,360.54,348.48
Japan,2023,0.0,49.24,109.36,9.13,73.79,77.44,34.25,332.88,327.42
Luxembourg,2018,0.0,0.22,0.12,0.25,0.09,0.0,0.08,0.2,0.0
Luxembourg,2019,0.0,0.28,0.13,0.28,0.11,0.0,0.08,0.19,0.0
Luxembourg,2020,0.0,0.37,0.16,0.35,0.09,0.0,0.07,0.18,0.0
Luxembourg,2021,0.0,0.39,0.18,0.31,0.11,0.0,0.07,0.17,0.0
Luxembourg,2022,0.0,0.36,0.28,0.31,0.06,0.0,0.07,0.1,0.0
Luxembourg,2023,0.0,0.21,0.28,0.49,0.07,0.0,0.06,0.03,0.0
Morocco,2018,0.0,0.04,0.95,3.86,2.0,0.0,1.25,5.2,21.26
Morocco,2019,0.0,0.04,1.58,4.72,1.65,0.0,0.79,4.7,26.9
Morocco,2020,0.0,0.04,1.52,4.59,1.29,0.0,0.69,3.46,27.21
Morocco,2021,0.0,0.04,1.82,5.11,1.21,0.0,1.38,3.46,28.28
Morocco,2022,0.0,0.04,1.45,5.36,0.68,0.0,4.19,0.69,29.0
Morocco,2023,0.0,0.04,2.05,6.26,0.56,0.0,4.11,2.04,27.32
Netherlands,2018,0.0,4.55,3.71,10.55,0.07,3.51,5.5,57.63,27.58
Netherlands,2019,0.0,5.82,5.4,11.51,0.07,3.91,4.93,70.72,17.69
Netherlands,2020,0.0,8.84,8.57,15.27,0.05,4.09,5.0,72.52,7.62
Netherlands,2021,0.0,10.92,11.3,18.0,0.09,3.83,5.33,56.69,14.6
Netherlands,2022,0.0,9.79,17.08,21.49,0.05,4.16,5.16,47.75,14.8
Netherlands,2023,0.0,8.25,21.15,28.97,0.06,4.0,5.17,46.1,8.45
Norway,2018,0.0,0.2,0.0,3.87,138.98,0.0,0.67,2.18,0.04
Norway,2019,0.0,0.25,0.01,5.52,125.29,0.0,0.66,2.06,0.04
Norway,2020,0.0,0.24,0.08,9.91,141.8,0.0,0.64,1.61,0.04
Norway,2021,0.0,0.22,0.11,11.76,143.97,0.0,0.72,0.31,0.04
Norway,2022,0.0,0.24,0.17,15.9,128.24,0.0,0.78,1.15,0.04
Norway,2023,0.02,0.24,0.17,14.96,135.96,0.0,0.82,1.38,0.04
Poland,2018,0.0,6.55,0.3,12.8,1.97,0.0,4.62,12.63,130.56
Poland,2019,0.0,7.68,0.71,15.11,1.96,0.0,4.82,14.8,118.14
Poland,2020,0.0,8.35,1.96,15.8,2.12,0.0,4.23,17.29,107.4
Poland,2021,0.0,8.06,3.93,16.23,2.34,0.0,4.84,15.82,127.57
Poland,2022,0.0,7.63,8.31,19.73,1.97,0.0,4.82,11.36,124.73
Poland,2023,0.0,8.13,12.24,23.06,2.38,0.0,5.17,14.75,103.02
Portugal,2018,0.23,3.16,1.01,12.62,12.39,0.0,1.32,15.61,12.01
Portugal,2019,0.22,3.36,1.34,13.67,8.82,0.0,1.4,17.26,5.53
Portugal,2020,0.22,3.79,1.72,12.3,12.08,0.0,1.32,17.6,2.36
Portugal,2021,0.18,4.0,2.24,13.21,11.91,0.0,1.31,15.57,0.8
Portugal,2022,0.19,4.11,3.52,13.28,6.54,0.0,1.33,17.39,0.0
Portugal,2023,0.19,3.71,4.57,13.23,10.98,0.0,1.32,10.88,0.0
Russia,2018,0.0,0.5,0.62,0.24,190.64,204.58,12.28,523.72,176.61
Russia,2019,0.0,0.54,0.99,0.31,194.38,208.99,13.07,512.33,187.55
Russia,2020,0.0,0.81,1.86,1.14,212.44,215.91,12.42,465.88,174.96
Russia,2021,0.0,0.82,2.31,2.58,214.53,222.39,13.37,519.88,181.19
Russia,2022,0.0,0.84,2.4,4.2,197.67,223.7,11.92,533.91,192.3
Russia,2023,0.0,0.88,2.01,3.35,200.6,217.47,12.15,544.79,196.22
Saudi Arabia,2018,0.0,0.0,0.16,0.0,0.0,0.0,147.93,226.68,0.0
Saudi Arabia,2019,0.0,0.0,0.21,0.01,0.0,0.0,154.79,223.54,0.0
Saudi Arabia,2020,0.0,0.0,0.21,0.01,0.0,0.0,148.41,232.27,0.0
Saudi Arabia,2021,0.0,0.0,0.83,0.01,0.0,0.0,157.88,234.22,0.0
Saudi Arabia,2022,0.0,0.0,0.83,0.01,0.0,0.0,131.38,269.37,0.0
Saudi Arabia,2023,0.0,0.0,4.3192434,1.45,0.0,0.0,152.05153,265.0446,0.0
Slovenia,2018,0.0,0.26,0.25,0.01,4.7,5.78,0.02,0.48,4.62
Slovenia,2019,0.0,0.25,0.3,0.01,4.48,5.82,0.01,0.54,4.48
Slovenia,2020,0.0,0.27,0.37,0.01,4.93,6.35,0.02,0.58,4.36
Slovenia,2021,0.0,0.27,0.45,0.01,4.71,5.71,0.07,0.52,3.85
Slovenia,2022,0.0,0.26,0.65,0.01,3.15,5.61,0.06,0.49,3.13
Slovenia,2023,0.0,0.24,0.69,0.01,4.96,5.64,0.06,0.43,3.19
South Korea,2018,0.0,9.55,10.17,2.46,3.36,133.51,10.88,164.16,258.81
South Korea,2019,0.0,10.57,14.19,2.68,2.79,145.91,8.17,156.03,246.46
South Korea,2020,0.0,10.03,19.34,3.15,3.88,160.18,7.22,162.38,210.94
South Korea,2021,0.0,11.9,24.72,3.18,3.05,158.01,7.23,179.97,213.87
South Korea,2022,0.0,17.34,26.97,3.36,3.54,176.05,6.98,175.15,210.9
South Korea,2023,0.0,18.46,29.37,3.41,3.7,180.49,6.87,169.23,202.66
Spain,2018,0.0,5.91,12.74,50.89,34.33,55.77,16.42,58.0,37.34
Spain,2019,0.02,5.57,15.1,55.65,24.65,58.35,14.61,83.71,12.86
Spain,2020,0.03,6.14,20.67,56.44,30.51,58.3,12.12,69.74,5.52
Spain,2021,0.02,6.94,27.1,62.06,29.63,56.56,12.08,71.5,4.86
Spain,2022,0.02,6.8,35.72,61.9,17.59,58.59,11.69,86.1,7.86
Spain,2023,0.0,5.86,45.08,64.13,20.01,56.8,10.73,63.24,3.9
Sweden,2018,0.0,11.91,0.41,16.62,62.21,68.55,2.94,0.38,0.34
Sweden,2019,0.0,13.04,0.68,19.85,65.37,66.13,2.85,0.29,0.21
Sweden,2020,0.0,11.18,1.05,27.52,72.39,49.2,2.34,0.1,0.0
Sweden,2021,0.0,13.08,1.53,27.25,73.89,52.97,2.76,0.29,0.01
Sweden,2022,0.0,13.1,1.98,33.33,69.87,51.94,2.75,0.15,0.01
Sweden,2023,0.0,11.78,2.48,34.72,66.07,48.4,2.75,0.15,0.01
Switzerland,2018,1.16,0.66,1.95,0.12,34.99,25.51,1.28,0.62,0.0
Switzerland,2019,1.17,0.71,2.18,0.15,38.04,26.42,1.29,0.61,0.0
Switzerland,2020,1.18,0.81,2.6,0.14,37.87,24.02,1.25,0.62,0.0
Switzerland,2021,1.11,0.96,2.84,0.15,36.96,19.36,1.22,0.5,0.0
Switzerland,2022,1.11,0.96,3.37,0.17,30.99,23.95,1.22,0.5,0.0
Switzerland,2023,1.11,0.96,4.19,0.17,38.55,24.19,1.22,0.5,0.0
Taiwan,2018,0.0,1.97,2.71,1.71,4.48,27.68,8.35,94.46,134.18
Taiwan,2019,0.0,1.99,4.02,1.89,5.54,32.32,5.98,93.2,129.25
Taiwan,2020,0.0,1.99,6.07,2.31,3.02,31.44,4.51,102.03,128.62
Taiwan,2021,0.0,2.01,7.97,2.21,3.47,27.79,5.44,110.53,131.55
Taiwan,2022,0.0,1.99,10.68,3.54,5.84,23.75,4.54,114.12,123.69
Taiwan,2023,0.0,2.03,13.57,4.61,4.14,19.79,3.32,111.96,122.05
Thailand,2018,0.0,11.74,4.54,1.64,7.6,0.0,0.18,116.26,35.8
Thailand,2019,0.0,12.59,5.15,3.67,6.31,0.0,1.12,121.84,35.83
Thailand,2020,0.0,12.29,5.03,3.22,4.54,0.0,0.72,113.86,36.82
Thailand,2021,0.0,13.41,4.99,3.53,4.54,0.0,0.72,113.11,36.06
Thailand,2022,0.0,13.56,4.88,3.42,6.6,0.0,1.73,114.64,35.52
Thailand,2023,0.0,13.99,5.0,4.16,6.6,0.0,0.9,129.4,30.44
Turkey,2018,6.91,2.5,7.8,19.86,59.75,0.0,1.44,90.09,111.8
Turkey,2019,8.23,3.4,9.57,21.63,88.64,0.0,0.97,54.88,112.86
Turkey,2020,9.32,4.34,11.2,24.61,77.86,0.0,0.34,68.07,106.26
Turkey,2021,10.11,6.15,13.28,31.02,55.51,0.0,0.35,107.34,104.12
Turkey,2022,10.22,7.62,15.16,34.69,66.66,0.0,0.73,71.86,113.62
Turkey,2023,10.13,8.21,18.4,33.88,63.72,0.0,0.94,66.48,118.03
United Kingdom,2018,0.01,34.98,12.67,56.91,5.44,65.06,9.34,131.49,16.83
United Kingdom,2019,0.01,37.4,12.42,63.84,5.93,56.18,9.2,131.99,6.92
United Kingdom,2020,0.0,39.36,12.9,75.38,6.86,50.28,10.33,111.42,5.49
United Kingdom,2021,0.0,39.88,12.14,64.66,5.5,45.9,10.89,123.17,6.51
United Kingdom,2022,0.0,35.45,13.92,80.26,5.32,47.72,12.55,125.3,5.57
United Kingdom,2023,0.0,33.85,13.51,82.46,5.23,41.29,12.57,100.52,4.06
United States,2018,18.69,61.83,93.36,272.67,286.62,807.08,42.68,1469.13,1149.49
United States,2019,17.87,57.51,106.89,295.88,282.61,809.41,37.44,1585.81,964.96
United States,2020,18.09,54.7,130.72,337.94,279.95,789.88,34.34,1624.17,773.39
United States,2021,18.24,54.25,164.42,378.2,246.47,779.65,35.2,1579.19,898.0
United States,2022,18.16,51.85,205.08,434.3,248.76,771.54,38.64,1687.07,831.51
United States,2023,18.61,47.46,238.12,425.23,233.96,775.35,33.0,1802.06,675.26
