,Country,Year,Total_Renewable_Energy,Total_Non-renewable_Energy,Total_Energy,Percentage
0,Argentina,2018,42.089999999999996,104.69,146.78,0.2867556887859381
1,Argentina,2019,43.22,96.31,139.53,0.30975417472944883
2,Argentina,2020,46.63,98.01,144.64000000000001,0.32238661504424776
3,Argentina,2021,47.21,105.94,153.15,0.30825987593862225
4,Argentina,2022,50.8,100.03,150.82999999999998,0.3368030232712325
5,Argentina,2023,62.19,91.24,153.43,0.40533142149514434
6,Australia,2018,49.489999999999995,213.14,262.63,0.18844001066138671
7,Australia,2019,55.25999999999999,210.64,265.9,0.20782248965776606
8,Australia,2020,64.28,200.94,265.22,0.2423648291984013
9,Australia,2021,77.27,190.18,267.45,0.2889138156664797
10,Australia,2022,90.86000000000001,182.69,273.55,0.33215134344726743
11,Australia,2023,99.16000000000001,175.73,274.89,0.3607261086252683
12,Austria,2018,50.06,14.610000000000001,64.67,0.7740838101128807
13,Austria,2019,54.64,16.05,70.69,0.7729523270618193
14,Austria,2020,55.42,13.62,69.04,0.802723059096176
15,Austria,2021,52.75,13.93,66.68,0.7910917816436712
16,Austria,2022,50.150000000000006,14.100000000000001,64.25,0.7805447470817122
17,Austria,2023,56.57,10.39,66.96000000000001,0.8448327359617681
18,Belgium,2018,45.77,28.11,73.88,0.6195181375203033
19,Belgium,2019,62.980000000000004,29.709999999999997,92.69,0.6794691984032798
20,Belgium,2020,57.879999999999995,30.4,88.28,0.655641141821477
21,Belgium,2021,73.06,26.33,99.39,0.7350840124761042
22,Belgium,2022,68.13,26.01,94.14,0.7237093690248565
23,Belgium,2023,60.66,21.74,82.39999999999999,0.7361650485436894
24,Brazil,2018,510.96000000000004,90.42999999999999,601.39,0.8496316865927269
25,Brazil,2019,531.57,101.75999999999999,633.33,0.8393254701340533
26,Brazil,2020,536.9699999999999,91.78999999999999,628.7599999999999,0.8540142502703735
27,Brazil,2021,522.28,133.82999999999998,656.1099999999999,0.7960250567740166
28,Brazil,2022,606.1999999999999,70.97,677.17,0.8951961841192019
29,Brazil,2023,646.97,66.21,713.1800000000001,0.9071622872206174
30,Bulgaria,2018,25.509999999999998,21.0,46.51,0.5484841969468931
31,Bulgaria,2019,24.049999999999997,19.669999999999998,43.72,0.5500914913083257
32,Bulgaria,2020,24.1,16.04,40.14,0.6003986048829099
33,Bulgaria,2021,26.799999999999997,20.42,47.22,0.5675561202880135
34,Bulgaria,2022,26.03,24.189999999999998,50.22,0.5183193946634808
35,Bulgaria,2023,26.52,13.47,39.99,0.6631657914478619
36,Canada,2018,533.73,127.78,661.51,0.8068358754969691
37,Canada,2019,529.53,126.5,656.03,0.8071734524335777
38,Canada,2020,533.65,119.71000000000001,653.36,0.8167778866168728
39,Canada,2021,524.5600000000001,122.21000000000001,646.7700000000001,0.8110456576526431
40,Canada,2022,537.14,122.50999999999999,659.65,0.8142803001591753
41,Canada,2023,508.79999999999995,126.1,634.9,0.8013860450464639
42,China,2018,2130.32,5035.82,7166.139999999999,0.2972757998029623
43,China,2019,2363.27,5140.16,7503.43,0.31495862558856413
44,China,2020,2551.14,5227.93,7779.07,0.32794922786399916
45,China,2021,2856.23,5678.03,8534.26,0.33467810917408186
46,China,2022,3087.9800000000005,5760.75,8848.73,0.3489743725935813
47,China,2023,3336.96,6122.63,9459.59,0.35275947477639097
48,Czechia,2018,39.35,47.49,86.84,0.4531321971441732
49,Czechia,2019,40.31,45.41,85.72,0.47025198320111994
50,Czechia,2020,40.379999999999995,39.72,80.1,0.5041198501872659
51,Czechia,2021,41.370000000000005,42.29,83.66,0.49450155390867806
52,Czechia,2022,41.8,41.940000000000005,83.74000000000001,0.49916407929304984
53,Czechia,2023,41.73,34.45,76.18,0.5477815699658702
54,Finland,2018,54.93,15.3,70.23,0.7821443827424177
55,Finland,2019,55.75,12.86,68.61,0.8125637662148375
56,Finland,2020,59.22,10.02,69.24,0.8552859618717504
57,Finland,2021,61.78,10.33,72.11,0.8567466370822355
58,Finland,2022,63.7,8.17,71.87,0.886322526784472
59,Finland,2023,75.38,4.46,79.83999999999999,0.9441382765531063
60,France,2018,526.45,49.480000000000004,575.9300000000001,0.9140867813796816
61,France,2019,512.0699999999999,53.660000000000004,565.7299999999999,0.9051490993937038
62,France,2020,478.85,48.370000000000005,527.22,0.9082546185653048
63,France,2021,501.33000000000004,48.79,550.12,0.9113102595797281
64,France,2022,408.83000000000004,60.519999999999996,469.35,0.8710557153510174
65,France,2023,470.80999999999995,43.3,514.1099999999999,0.9157767792884792
66,Germany,2018,298.93,333.35,632.28,0.4727810463718606
67,Germany,2019,316.24,283.85,600.09,0.5269876185238881
68,Germany,2020,315.87,250.88,566.75,0.5573356859285399
69,Germany,2021,302.12,277.19,579.31,0.5215169770934388
70,Germany,2022,286.14,281.33,567.47,0.504238109503586
71,Germany,2023,273.31,231.48,504.78999999999996,0.5414330711781137
72,Hungary,2018,19.5,12.55,32.05,0.608424336973479
73,Hungary,2019,20.99,13.29,34.28,0.6123103850641773
74,Hungary,2020,21.58,13.34,34.92,0.617983963344788
75,Hungary,2021,22.9,13.200000000000001,36.1,0.6343490304709141
76,Hungary,2022,23.470000000000002,12.29,35.760000000000005,0.6563199105145414
77,Hungary,2023,25.12,10.68,35.8,0.7016759776536313
78,Iceland,2018,19.689999999999998,0.0,19.689999999999998,1.0
79,Iceland,2019,19.36,0.0,19.36,1.0
80,Iceland,2020,18.89,0.0,18.89,1.0
81,Iceland,2021,19.39,0.0,19.39,1.0
82,Iceland,2022,19.869999999999997,0.0,19.869999999999997,1.0
83,India,2018,302.66,1276.52,1579.18,0.1916564292860852
84,India,2019,348.31999999999994,1273.78,1622.1,0.21473398680722516
85,India,2020,360.28,1221.66,1581.94,0.22774567935572776
86,India,2021,377.41,1337.3500000000001,1714.7600000000002,0.2200949403998227
87,India,2022,427.06,1430.9199999999998,1857.9799999999998,0.2298517745077988
88,India,2023,432.2,1535.7,1967.9,0.21962498094415364
89,Ireland,2018,10.2,20.7,30.9,0.3300970873786408
90,Ireland,2019,11.790000000000001,18.92,30.71,0.3839140345164442
91,Ireland,2020,13.450000000000001,18.51,31.96,0.4208385481852316
92,Ireland,2021,11.59,19.98,31.57,0.3671206841938549
93,Ireland,2022,13.04,20.540000000000003,33.58,0.38832638475282905
94,Ireland,2023,13.73,17.700000000000003,31.430000000000003,0.4368437798281896
95,Italy,2018,114.41,171.65,286.06,0.3999510592183458
96,Italy,2019,115.83000000000001,174.16,289.99,0.39942756646780925
97,Italy,2020,116.9,159.91,276.81,0.4223113326830678
98,Italy,2021,116.33,169.16,285.49,0.4074748677712004
99,Italy,2022,100.25,179.70999999999998,279.96,0.3580868695527933
100,Italy,2023,114.8,147.78,262.58,0.437200091400716
101,Japan,2018,228.89999999999998,824.28,1053.1799999999998,0.21734176494046603
102,Japan,2019,245.94,779.8399999999999,1025.78,0.2397590126537854
103,Japan,2020,238.17,758.79,996.9599999999999,0.23889624458353395
104,Japan,2021,277.21000000000004,742.5,1019.71,0.27185180100224576
105,Japan,2022,278.7,754.85,1033.55,0.2696531372454163
106,Japan,2023,318.96,694.55,1013.51,0.3147082909887421
107,Luxembourg,2018,0.6799999999999999,0.28,0.96,0.7083333333333333
108,Luxembourg,2019,0.8,0.27,1.07,0.7476635514018691
109,Luxembourg,2020,0.97,0.25,1.22,0.7950819672131147
110,Luxembourg,2021,0.9900000000000001,0.24000000000000002,1.2300000000000002,0.8048780487804877
111,Luxembourg,2022,1.01,0.17,1.18,0.8559322033898306
112,Luxembourg,2023,1.05,0.09,1.1400000000000001,0.9210526315789473
113,Morocco,2018,6.85,27.71,34.56,0.1982060185185185
114,Morocco,2019,7.99,32.39,40.38,0.19787023278850915
115,Morocco,2020,7.44,31.36,38.8,0.19175257731958764
116,Morocco,2021,8.18,33.120000000000005,41.300000000000004,0.19806295399515736
117,Morocco,2022,7.53,33.88,41.410000000000004,0.1818401352330355
118,Morocco,2023,8.91,33.47,42.379999999999995,0.21024067956583298
119,Netherlands,2018,22.39,90.71000000000001,113.10000000000001,0.19796640141467728
120,Netherlands,2019,26.71,93.34,120.05000000000001,0.22249062890462307
121,Netherlands,2020,36.81999999999999,85.14,121.96,0.3019022630370613
122,Netherlands,2021,44.14,76.61999999999999,120.75999999999999,0.3655183835707188
123,Netherlands,2022,52.56999999999999,67.71,120.27999999999999,0.4370635184569338
124,Netherlands,2023,62.43,59.72,122.15,0.5110929185427753
125,Norway,2018,143.04999999999998,2.89,145.93999999999997,0.9801973413731672
126,Norway,2019,131.07,2.7600000000000002,133.82999999999998,0.9793768213405066
127,Norway,2020,152.03,2.29,154.32,0.9851607050285123
128,Norway,2021,156.06,1.07,157.13,0.9931903519378859
129,Norway,2022,144.55,1.97,146.52,0.9865547365547366
130,Norway,2023,151.35000000000002,2.2399999999999998,153.59000000000003,0.9854157171690865
131,Poland,2018,21.619999999999997,147.81,169.43,0.12760432036829367
132,Poland,2019,25.46,137.76,163.22,0.15598578605563043
133,Poland,2020,28.23,128.92000000000002,157.15,0.17963728921412664
134,Poland,2021,30.56,148.23,178.79,0.17092678561440797
135,Poland,2022,37.64,140.91,178.55,0.21080929711565388
136,Poland,2023,45.81,122.94,168.75,0.2714666666666667
137,Portugal,2018,29.41,28.939999999999998,58.349999999999994,0.5040274207369324
138,Portugal,2019,27.41,24.19,51.6,0.5312015503875969
139,Portugal,2020,30.11,21.28,51.39,0.5859116559641954
140,Portugal,2021,31.540000000000003,17.68,49.22,0.6407964242177977
141,Portugal,2022,27.64,18.72,46.36,0.5962036238136325
142,Portugal,2023,32.68000000000001,12.200000000000001,44.88000000000001,0.7281639928698752
143,Russia,2018,396.58000000000004,712.61,1109.19,0.35754018698329415
144,Russia,2019,405.21000000000004,712.95,1118.16,0.36238999785361664
145,Russia,2020,432.15999999999997,653.26,1085.42,0.3981500248751635
146,Russia,2021,442.63,714.44,1157.0700000000002,0.3825438391799977
147,Russia,2022,428.80999999999995,738.1299999999999,1166.9399999999998,0.36746533669254633
148,Russia,2023,424.31,753.16,1177.47,0.36035737640874077
149,Saudi Arabia,2018,0.16,374.61,374.77000000000004,0.000426928516156576
150,Saudi Arabia,2019,0.22,378.33,378.55,0.0005811649716021661
151,Saudi Arabia,2020,0.22,380.68,380.90000000000003,0.0005775794171698608
152,Saudi Arabia,2021,0.84,392.1,392.94,0.002137730951290273
153,Saudi Arabia,2022,0.84,400.75,401.59,0.0020916855499389926
154,Saudi Arabia,2023,5.769243400000001,417.09613,422.8653734,0.013643215460308486
155,Slovenia,2018,11.0,5.12,16.12,0.6823821339950372
156,Slovenia,2019,10.860000000000001,5.03,15.89,0.6834487098804279
157,Slovenia,2020,11.93,4.96,16.89,0.7063351095322675
158,Slovenia,2021,11.149999999999999,4.44,15.59,0.715202052597819
159,Slovenia,2022,9.68,3.6799999999999997,13.36,0.7245508982035929
160,Slovenia,2023,11.54,3.6799999999999997,15.219999999999999,0.7582128777923784
161,South Korea,2018,159.04999999999998,433.85,592.9,0.26825771630966433
162,South Korea,2019,176.14,410.65999999999997,586.8,0.3001704158145876
163,South Korea,2020,196.58,380.53999999999996,577.12,0.3406224008871639
164,South Korea,2021,200.85999999999999,401.07,601.93,0.33369328659478675
165,South Korea,2022,227.26000000000002,393.03,620.29,0.36637701720163157
166,South Korea,2023,235.43,378.76,614.19,0.38331786580699784
167,Spain,2018,159.64,111.76,271.4,0.5882092851879145
168,Spain,2019,159.34,111.17999999999999,270.52,0.5890137512938046
169,Spain,2020,172.09,87.38,259.47,0.6632365976798859
170,Spain,2021,182.31,88.44,270.75,0.6733518005540167
171,Spain,2022,180.62,105.64999999999999,286.27,0.6309428162224474
172,Spain,2023,191.88,77.87,269.75,0.7113253012048193
173,Sweden,2018,159.7,3.6599999999999997,163.35999999999999,0.9775954946131244
174,Sweden,2019,165.07,3.35,168.42,0.9801092506828168
175,Sweden,2020,161.34,2.44,163.78,0.985101966052021
176,Sweden,2021,168.72,3.0599999999999996,171.78,0.9821865176388404
177,Sweden,2022,170.22,2.9099999999999997,173.13,0.9831918211748397
178,Sweden,2023,163.45,2.9099999999999997,166.35999999999999,0.9825078143784564
179,Switzerland,2018,64.39,1.9,66.29,0.9713380600392215
180,Switzerland,2019,68.67,1.9,70.57000000000001,0.9730763780643332
181,Switzerland,2020,66.61999999999999,1.87,68.49,0.9726967440502262
182,Switzerland,2021,61.38,1.72,63.1,0.9727416798732171
183,Switzerland,2022,60.55,1.72,62.269999999999996,0.9723783523365988
184,Switzerland,2023,69.17,1.72,70.89,0.9757370574128932
185,Taiwan,2018,38.55,236.99,275.54,0.1399070915293605
186,Taiwan,2019,45.76,228.43,274.19,0.1668915715379846
187,Taiwan,2020,44.83,235.16000000000003,279.99,0.16011286117361334
188,Taiwan,2021,43.45,247.52,290.97,0.1493281094270887
189,Taiwan,2022,45.8,242.35000000000002,288.15000000000003,0.15894499392677422
190,Taiwan,2023,44.14,237.32999999999998,281.46999999999997,0.15681955448182758
191,Thailand,2018,25.520000000000003,152.24,177.76000000000002,0.14356435643564355
192,Thailand,2019,27.720000000000002,158.79000000000002,186.51000000000002,0.14862473861991313
193,Thailand,2020,25.08,151.4,176.48000000000002,0.14211242067089752
194,Thailand,2021,26.47,149.89,176.35999999999999,0.15009072352007258
195,Thailand,2022,28.46,151.89000000000001,180.35000000000002,0.15780426947601883
196,Thailand,2023,29.75,160.74,190.49,0.15617617722715102
197,Turkey,2018,96.82,203.32999999999998,300.15,0.3225720473096785
198,Turkey,2019,131.47,168.71,300.18,0.4379705510027317
199,Turkey,2020,127.33,174.67000000000002,302.0,0.4216225165562914
200,Turkey,2021,116.07,211.81,327.88,0.3540014639502257
201,Turkey,2022,134.35,186.21,320.56,0.41911030696281504
202,Turkey,2023,134.34,185.45,319.78999999999996,0.4200881828700085
203,United Kingdom,2018,175.07,157.66000000000003,332.73,0.5261623538604875
204,United Kingdom,2019,175.78,148.10999999999999,323.89,0.542715119330637
205,United Kingdom,2020,184.78,127.24,312.02,0.592205627844369
206,United Kingdom,2021,168.08,140.57,308.65,0.544565041308926
207,United Kingdom,2022,182.67,143.42,326.09,0.5601827716274648
208,United Kingdom,2023,176.33999999999997,117.15,293.49,0.6008381886946743
209,United States,2018,1540.25,2661.3,4201.55,0.36659090097702035
210,United States,2019,1570.17,2588.21,4158.38,0.37759175448131244
211,United States,2020,1611.2800000000002,2431.9,4043.1800000000003,0.3985179982093303
212,United States,2021,1641.23,2512.3900000000003,4153.620000000001,0.3951324386920324
213,United States,2022,1729.69,2557.2200000000003,4286.91,0.40348176192175716
214,United States,2023,1738.73,2510.3199999999997,4249.049999999999,0.40920441039761835
